passing,repo,branch,test
1,pyGPGO,after_c21120ffd974029485877dcebafb2c0b930e1f16,tests/test_GPGO.py::test_GPGO_mcmc
2,pyGPGO,before_1c718d7f2bdb95d407b27412b25471c762355832,tests/test_GPGO.py::test_GPGO_mcmc
3,pyGPGO,after_cf90459831f5fa215a996737ffe296172211a31c,tests/test_GP.py::test_GP
4,pyGPGO,before_7567dc37bacc7941823710e911f7cf1f9a457ae6,tests/test_GP.py::test_GP
5,pyGPGO,after_332e54285093929916962430e5d6ae347ed2b619,tests/test_surrogates.py::test_tSP_opt_nograd
6,pyGPGO,before_3f588ba0adf0fc420223ad4dd1a264bbc243f353,tests/test_surrogates.py::test_tSP_opt_nograd
7,sbi,after_c8aec2f86046812f3bc053a9bff5c57d485e495c,tests/linearGaussian_snpe_test.py::test_c2st_snpe_on_linearGaussian[2-gaussian]
8,sbi,before_86d9b07238f5a0176638fecdd5622694d92f2962,tests/linearGaussian_snpe_test.py::test_c2st_snpe_on_linearGaussian[2-gaussian]
9,gensim,after_3db9406a146c0ab0932353ae5b6a58b66838c631,gensim/test/test_fasttext.py::TestFastTextModel::test_cbow_neg_training
10,gensim,before_0027fb5d30ca63f197a584837b8236f464f12e94,gensim/test/test_fasttext.py::TestFastTextModel::test_cbow_neg_training
11,gensim,after_3db9406a146c0ab0932353ae5b6a58b66838c631,gensim/test/test_fasttext.py::TestFastTextModel::test_sg_hs_training
12,gensim,before_0027fb5d30ca63f197a584837b8236f464f12e94,gensim/test/test_fasttext.py::TestFastTextModel::test_sg_hs_training
13,gensim,after_49e849d2984689e7dc6e7171cdbff08c72fe44e0,gensim/test/test_doc2vec.py::TestDoc2VecModel::test_dbow_neg
14,gensim,before_0027fb5d30ca63f197a584837b8236f464f12e94,gensim/test/test_doc2vec.py::TestDoc2VecModel::test_dbow_neg
15,ParlAI,before_650d33fc309cb647fa8e2b0c4100cfe04f8d241f,ParlAI/tests/test_ir_baseline.py::TestIrBaseline::test_babi
16,ParlAI,before_3bbae1a66a1090024dd67568636f4245f16e1271,ParlAI/tests/test_tra.py::TestMemNN::test_eval_fixed
17,ParlAI,before_07db13a1801ae3a23c3083fa07e584ae8c7db865,ParlAI/tests/test_distributed.py::TestDistributed::test_generator_distributed
18,ParlAI,before_2ad9c75bc841f8470ff12a140cc6ac039291cadf,ParlAI/tests/nightly/gpu/test_bert.py::TestBertModel::test_crossencoder
19,fairseq,before_1a709b2a401ac8bd6d805c8a6a5f4d7f03b923ff,fairseq/tests/test_binaries.py::TestTranslation::test_multilingual_translation_latent_depth
20,sbi,before_39d6954c6073dc15aa1abe1d99589b15798e4901,sbi/tests/sbiutils_test.py::test_conditional_corrcoeff
21,numpyro,before_956789be0fc09b81d769a647d67e5ec303a50224,numpyro/test/test_mcmc.py::test_compile_warmup_run
22,ml-agents,before_3f4b2b59cff8038bc6f25550e39296e2cc8695cb,ml-agents/mlagents/trainers/tests/torch/test_attention.py::test_simple_transformer_training
23,pyro,before_f9dee1e2cd494a2c473b09d9ffb6098ab16dc105,tests/infer/test_predictive.py::test_posterior_predictive_svi_manual_guide[True]
24,pyro,before_f9dee1e2cd494a2c473b09d9ffb6098ab16dc105,tests/infer/test_predictive.py::test_posterior_predictive_svi_manual_guide[False]